r[mm], Y_v[-], T_g[K], V_g[mkm/s]
27.119999999999997, 0.08865087758606482, 476.49119394694526, 0.034700224080788065
27.159999999999997, 0.0886112413952106, 476.5589106853199, 0.034602100503445754
27.2, 0.08857171988257007, 476.62643116574463, 0.034504391761220846
27.24, 0.08853231255121474, 476.6937562401208, 0.03440709552376637
27.279999999999998, 0.08849301890708317, 476.7608867554263, 0.034310209477039756
27.319999999999997, 0.08845383845895938, 476.82782355375184, 0.034213731323166435
27.36, 0.0884147707184535, 476.894567472335, 0.0341176587803048
27.4, 0.08837581519998072, 476.9611193435976, 0.034021989582512645
27.439999999999998, 0.08833697142074126, 477.02747999517715, 0.033926721479614404
27.479999999999997, 0.08829823890070077, 477.09365024996305, 0.033831852237070276
27.52, 0.08825961716257036, 477.15963092613083, 0.033737379635846255
27.56, 0.08822110573178699, 477.2254228371744, 0.03364330147228545
27.599999999999998, 0.08818270413649398, 477.291026791941, 0.033549615557980694
27.639999999999997, 0.08814441190752198, 477.3564435946628, 0.03345631971964848
27.68, 0.0881062285783697, 477.42167404499196, 0.03336341179900393
27.72, 0.08806815368518484, 477.48671893803066, 0.033270889652637
27.759999999999998, 0.08803018676674557, 477.55157906436443, 0.033178751151889944
27.799999999999997, 0.08799232736444185, 477.61625521009546, 0.03308699418273603
27.839999999999996, 0.08795457502225679, 477.68074815687214, 0.032995616645659136
27.88, 0.08791692928674855, 477.7450586819223, 0.03290461645553477
27.919999999999998, 0.08787938970703224, 477.8091875580835, 0.03281399154151213
27.959999999999997, 0.08784195583476162, 477.87313555383435, 0.03272373984689721
27.999999999999996, 0.08780462722411164, 477.9369034333249, 0.032633859329037125
28.04, 0.08776740343176048, 478.00049195640713, 0.0325443479592055
28.08, 0.087730284016872, 478.0639018786651, 0.03245520372248891
28.119999999999997, 0.0876932685410785, 478.12713395144556, 0.032366424617674486
28.159999999999997, 0.08765635656846349, 478.1901889218866, 0.0322780086571385
28.2, 0.08761954766554425, 478.2530675329481, 0.032189953866736024
28.24, 0.08758284140125538, 478.31577052343937, 0.0321022582856916
28.28, 0.08754623734693157, 478.37829862804983, 0.03201491996649104
28.319999999999997, 0.0875097350762909, 478.4406525773761, 0.03192793697477415
28.359999999999996, 0.08747333416541869, 478.5028330979526, 0.03184130738922853
28.4, 0.08743703419275095, 478.56484091227685, 0.03175502930148423
28.439999999999998, 0.08740083473905769, 478.6266767388406, 0.03166910081600969
28.479999999999997, 0.08736473538742728, 478.6883412921543, 0.03158352005000816
28.519999999999996, 0.08732873572325028, 478.749835282777, 0.03149828513331572
28.56, 0.08729283533420362, 478.8111594173438, 0.03141339420829976
28.599999999999998, 0.08725703381023475, 478.8723143985908, 0.03132884542975853
28.64, 0.08722133074354621, 478.9333009253837, 0.031244636964821736
28.679999999999996, 0.08718572572857974, 478.9941196927434, 0.031160766992851953
28.72, 0.08715021836200165, 479.05477139187406, 0.031077233705347075
28.759999999999998, 0.08711480824268714, 479.1152567101867, 0.030994035305843475
